Address	Ordinal	Name	Library
0040A560	7351	CDockablePane::IsDocked(void)	mfc100u
0040A564	7508	CDockablePane::IsVisible(void)	mfc100u
0040A568	7392	CDockablePane::IsInFloatingMultiPaneFrameWnd(void)	mfc100u
0040A56C	6348	CDockablePane::GetThisClass(void)	mfc100u
0040A570	4555	CDockablePane::GetCaptionHeight(void)	mfc100u
0040A574	4819	CBasePane::GetDockingMode(void)	mfc100u
0040A578	2351	CDockablePane::CanAutoHide(void)	mfc100u
0040A57C	3913	CDockablePane::EnableGripper(int)	mfc100u
0040A580	3584	CDockablePane::DockToFrameWindow(ulong,tagRECT const *,ulong,CBasePane *,int,int)	mfc100u
0040A584	8134	CDockablePane::OnBeforeChangeParent(CWnd *,int)	mfc100u
0040A588	8088	CDockablePane::OnAfterChangeParent(CWnd *)	mfc100u
0040A58C	13011	CDockablePane::ShowPane(int,int,int)	mfc100u
0040A590	7593	CDockablePane::LoadState(wchar_t const *,int,uint)	mfc100u
0040A594	11899	CDockablePane::SaveState(wchar_t const *,int,uint)	mfc100u
0040A598	13243	CDockablePane::UndockPane(int)	mfc100u
0040A59C	10759	CDockablePane::OnUpdateCmdUI(CFrameWnd *,int)	mfc100u
0040A5A0	10346	CBasePane::OnSetAccData(long)	mfc100u
0040A5A4	2291	CDockablePane::CalcFixedLayout(int,int)	mfc100u
0040A5A8	3647	CBasePane::DoPaint(CDC *)	mfc100u
0040A5AC	3579	CDockablePane::DockPaneStandard(int &)	mfc100u
0040A5B0	7320	CDockablePane::IsChangeState(int,CBasePane * *)	mfc100u
0040A5B4	8140	CDockablePane::OnBeforeFloat(CRect &,AFX_DOCK_METHOD)	mfc100u
0040A5B8	8106	CPane::OnAfterFloat(void)	mfc100u
0040A5BC	13165	CDockablePane::ToggleAutoHide(void)	mfc100u
0040A5C0	10171	CDockablePane::OnPressCloseButton(void)	mfc100u
0040A5C4	2673	CDockablePane::ConvertToTabbedDocument(int)	mfc100u
0040A5C8	10501	CPane::OnShowControlBarMenu(CPoint)	mfc100u
0040A5CC	8788	CDockablePane::OnDrawDragRect(tagRECT const *,tagRECT const *)	mfc100u
0040A5D0	8103	CDockablePane::OnAfterDock(CBasePane *,tagRECT const *,AFX_DOCK_METHOD)	mfc100u
0040A5D4	3550	CDockablePane::Dock(CBasePane *,tagRECT const *,AFX_DOCK_METHOD)	mfc100u
0040A5D8	4004	CDockablePane::EnterDragMode(int)	mfc100u
0040A5DC	13104	CDockablePane::StoreRecentDockSiteInfo(void)	mfc100u
0040A5E0	2759	CDockablePane::Create(wchar_t const *,CWnd *,CSize,int,uint,ulong,ulong,ulong)	mfc100u
0040A5E4	2758	CDockablePane::Create(wchar_t const *,CWnd *,tagRECT const &,int,uint,ulong,ulong,ulong,CCreateContext *)	mfc100u
0040A5E8	2920	CDockablePane::CreateEx(ulong,wchar_t const *,CWnd *,tagRECT const &,int,uint,ulong,ulong,ulong,CCreateContext *)	mfc100u
0040A5EC	7076	CDockablePane::HitTest(CPoint,int)	mfc100u
0040A5F0	2342	CDockablePane::CanAcceptMiniFrame(CPaneFrameWnd *)	mfc100u
0040A5F4	13062	CDockablePane::Slide(int,int)	mfc100u
